drug_name,ean_code
4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge,5420040821062
A1-Cal D3 500mg/400unit chewable tablets sugar free,5060660871766
Alogliptin 12.5mg tablets,5035382011264
Anbesol liquid,5036631001340
Angitil SR 120 capsules,5060078670159
Arthrotec 50 gastro-resistant tablets,5060669870111
Atenolol 25mg tablets,5060637641293
Atomoxetine 25mg capsules,5060608564187
Atomoxetine 80mg capsules,5060608564149
Bimiduo 0.3mg/ml / 5mg/ml eye drops preservative free,5903060622258
Bisacodyl 5mg gastro-resistant tablets,5025903015444
Brilique 60mg tablets,5060669873624
Brilique 90mg orodispersible tablets,5000456053723
Brimonidine 2mg/ml eye drops,5060124640112
Cabergoline 500microgram tablets,8901175074235
Calcipotriol 50micrograms/g cream,5702191004274
Calcium carbonate 1.25g chewable tablets sugar free,5060499390902
Canagliflozin 100mg tablets,5012674904305
Celiprolol 200mg tablets,5025903001522
Ceporex 500mg tablets,5031676004875
Chlordiazepoxide 10mg capsules,5025903001102
Chlorpromazine 25mg tablets,5025903005100
Cholurso 500mg tablets,3760001040838
Cinacalcet 60mg tablets,5060608560912
Cipralex 10mg tablets,5055946800318
Clarithromycin 250mg tablets,5050114624642
Clexane 80mg/0.8ml solution for injection pre-filled syringes,5060666560060
"Clobetasol 500microgram / Neomycin 5mg / Nystatin 100,000units/g ointment",5050204100889
Clopixol 10mg tablets,5050114310712
Co-amilozide 5mg/50mg tablets,5060313371070
Co-careldopa 25mg/250mg tablets,5025903000952
Cosopt iMulti 20mg/ml / 5mg/ml eye drops,5060669873228
Desmopressin 120microgram oral lyophilisates sugar free,5025903038368
Dexamethasone 2mg soluble tablets sugar free,5025903081234
Dexamethasone 8mg soluble tablets sugar free,5025903081210
Diclo-SR 75mg tablets,5031676004684
Dihydrocodeine 120mg modified-release tablets,5012854026339
Edronax 4mg tablets,5060669870500
Episenta 300mg/3ml solution for injection ampoules,4031649002205
Estradiol 1mg tablets,7317510000530
Febuxostat 120mg tablets,5035559002453
Flixotide 250micrograms/dose Accuhaler,5055946800691
FreeStyle Lite testing strips,5021791005482
Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler,6432100037954
Gepretix 200mg capsules,8437024360254
GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge,5060342240187
Glucofix Tech Sensor testing strips,8012992513439
Glycopyrronium bromide 1mg tablets,5021730035396
Guanfacine 3mg modified-release tablets,5060147024234
Hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials,5415062387238
Hypafix tape 10cm,4042809000733
Ilaxten 20mg tablets,5038227000386
Imodium Instant Melts 2mg orodispersible tablets,5027097407326
Inhixa 40mg/0.4ml solution for injection pre-filled syringes,5060272230319
Inhixa 60mg/0.6ml solution for injection pre-filled syringes,5060272230326
Ipratropium bromide 250micrograms/1ml nebuliser liquid unit dose vials,5025903002604
Isosorbide mononitrate 25mg modified-release capsules,5016298060676
Isosorbide mononitrate 60mg modified-release tablets,5017230096210
Isotard 50XL tablets,5038903000228
Isotretinoin 10mg capsules,5000471006971
Ivermectin 3mg tablets,5711313010802
LBF No Sting barrier film spray,5017950012279
LBF barrier cream,5017950012194
Lamictal 100mg tablets,5055946808390
Leukostrip skin closure strips 6.4mm x 76mm,5000223449070
Levomepromazine 25mg tablets,5060673110739
Levomepromazine 50mg tablets,5055132717390
Librium 10mg capsules,5060035240852
Lixiana 15mg tablets,5015494000004
Lorazepam 250microgram tablets,5060014445650
Marol 100mg modified-release tablets,5017007012900
Medi Derma-S barrier cream,5060092860345
Metoclopramide 5mg tablets,5060013943812
Metoject 10mg/0.2ml solution for injection pre-filled syringes,4037353006362
Metoject 15mg/0.3ml solution for injection pre-filled syringes,4037353006379
Mexiletine 100mg capsules,5021730035464
Midazolam 10mg/2ml oromucosal solution pre-filled oral syringes sugar free,8436027472506
Midazolam 2mg/2ml solution for injection ampoules,5099602992344
Nortriptyline 10mg capsules,5025903039464
NovoFine Autocover hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge,5017954001446
Nytol 25mg tablets,5000198500448
Omeprazole 20mg dispersible gastro-resistant tablets,5060499391138
Oxazepam 15mg tablets,5024655005536
Phenytoin sodium 100mg tablets,5037563004089
Pilocarpine hydrochloride 2% eye drops,5060148681320
Pipexus 0.52mg modified-release tablets,5060078670012
Piriton Allergy 4mg tablets,5054563076281
Ponstan 250mg capsules,5050204100056
Pregabalin 100mg tablets,5060673110197
Pregabalin 225mg capsules,5060124642352
Progynova 1mg tablets,5060669871149
Progynova TS 100micrograms/24hours transdermal patches,5016703003670
Propafenone 150mg tablets,5099151007827
Quinine bisulfate 300mg tablets,5060014446664
Ranogelan 375mg prolonged-release tablets,9008732016369
Raponer XL 4mg tablets,5055565768310
Rasilez 150mg tablets,5055946801124
Renacet 475mg tablets,4027052102113
Riluzole 50mg tablets,5013011003460
Stalevo 100mg/25mg/200mg tablets,5060666561043
Stalevo 125mg/31.25mg/200mg tablets,5055946804941
Stalevo 175mg/43.75mg/200mg tablets,6432100020444
"SunVit-D3 20,000unit capsules",5060320560382
SunVit-D3 200unit with Calcium 500mg chewable tablets,5060320560337
"SunVit-D3 4,000unit tablets",5060320560528
"SunVit-D3 50,000unit tablets",5060320560023
Synalar 0.025% cream,8435373700295
Synjardy 5mg/1000mg tablets,5055946807959
Testavan 20mg/g transdermal gel,5065004013055
"Thorens 25,000unit capsules",5056224000383
Tildiem LA 300mg capsules,5055946801247
Timolol 10mg tablets,5060089610014
Tramadol 100mg modified-release capsules,5060035240142
Tramadol 50mg modified-release tablets,4032129011601
Trandolapril 4mg capsules,5013158773134
Tritace 10mg tablets,5013011005990
Trospium chloride 60mg modified-release capsules,5016695926773
Trusopt 20mg/ml eye drops 0.2ml unit dose preservative free,5055946806129
Valios 10mg orodispersible tablets sugar free,5036072006188
Valios 20mg orodispersible tablets sugar free,5036072006195
Vipidia 25mg tablets,5060666561296
Viridal Duo Starter Pack 10microgram powder and solvent for solution for injection cartridges with device,5021691003656
Xaqua 5mg tablets,5060512180053
YPV Vitamin D3 400unit tablets,5060342242228
Zydol 50mg soluble tablets,4032129003613
